,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
2,4,8.538692,6.023679,6207.3867,2.4288611,2.345158,-11.98624,0.05354614,0.052063107,0.03446185,3350.7256,6207.3867,1,3
3,5,8.336513,6.0247,4562.892,2.6157365,2.5329256,-13.988618,0.06145511,0.06031416,0.031658724,2025.7428,4562.892,1,3
4,6,7.95294,6.1678467,4984.192,2.5379167,2.429852,-3.914606,0.06570456,0.0631453,0.042580064,2092.429,4984.192,1,3
9,23,8.638667,6.092816,5038.508,2.6540842,2.4654071,-2.1520925,0.06937747,0.0647016,0.071089335,2138.8372,5038.508,6,4
10,24,8.670439,6.020278,4177.4995,2.3704536,1.9686369,5.802519,0.07346342,0.060261153,0.16951048,2929.9355,4177.4995,6,4
11,25,8.477521,6.0583973,4494.523,2.107492,2.2936375,-6.658471,0.056923874,0.061273716,0.08115735,2954.0952,4494.523,6,4
12,26,8.450939,6.324403,4950.5513,2.2806675,2.4182591,-2.4656863,0.06045133,0.063890845,0.056896962,2670.6956,4950.5513,6,4
15,36,8.292771,6.077779,7862.1553,2.6048563,2.5791776,-23.982243,0.046756625,0.04648976,0.009857985,3297.2356,7862.1553,9,9
16,37,8.479558,6.1511097,4623.3623,2.590768,2.2431712,-2.0515647,0.07073312,0.06170521,0.1341675,2488.589,4623.3623,9,9
17,38,8.225165,6.101367,5009.213,2.4303052,2.33699,-0.98169935,0.06466039,0.06225186,0.038396463,2797.5562,5009.213,9,9
18,39,8.14981,6.1610594,4390.61,2.335208,1.9268163,7.276574,0.07116972,0.057856653,0.17488447,3345.9583,4390.61,9,9
19,40,7.747837,6.4259043,5647.257,2.5397294,2.395934,-3.7611165,0.062133126,0.058869924,0.056618337,2620.309,5647.257,9,9
20,41,8.1115055,6.13125,7257.955,2.7570043,2.8688471,-15.896316,0.05356095,0.054993905,0.0389853,2368.4436,7257.955,9,9
21,42,8.058838,6.210816,6777.6807,2.5398705,2.4674082,-7.7640777,0.055363603,0.053981017,0.028529927,3348.2837,6777.6807,9,9
22,43,8.154804,6.2549624,5392.478,2.3142762,2.063356,5.1064987,0.06202835,0.055031173,0.10842279,3467.5186,5392.478,9,9
23,44,8.363721,6.1530313,6200.0913,2.5533075,2.3401518,-11.771121,0.05581599,0.052081876,0.083482206,3118.415,6200.0913,9,9
28,53,8.481585,6.217002,4953.6836,2.166931,2.1746233,2.8552673,0.059696674,0.05991275,0.0035373194,3230.354,4953.6836,12,7
29,54,8.090713,6.6460495,4119.4243,1.9506903,1.8595763,28.258795,0.0679848,0.064081,0.046708554,4039.9734,4119.4243,12,7
30,55,8.349352,6.5200925,4433.0176,2.1174934,1.9954618,19.047417,0.06840566,0.06376271,0.0576302,3509.9568,4433.0176,12,7
31,56,8.079283,6.5616364,4276.821,2.0199633,1.9195212,28.546764,0.069435984,0.06516282,0.04972469,3808.1804,4276.821,12,7
32,57,8.348366,6.420305,4451.7505,2.187101,1.9388425,16.054258,0.06965232,0.06058137,0.11351024,3385.329,4451.7505,12,7
33,58,8.524886,6.183591,5840.7563,2.2563906,2.1847372,-5.705816,0.054082677,0.052517187,0.031755745,3528.1724,5840.7563,12,7
34,59,8.560407,6.2563496,3995.0898,2.0769405,1.9860499,7.1027365,0.065922186,0.06282899,0.043761794,2991.1611,3995.0898,12,7
35,61,8.107177,6.4090075,1909.4299,1.8291528,1.8110092,19.278502,0.097523294,0.09627344,0.009919157,1965.0974,1909.4299,13,7
36,62,8.500876,6.2739997,3672.0938,1.9696598,1.916967,12.60196,0.06763778,0.06559185,0.026752219,3072.63,3672.0938,13,7
37,63,8.226951,6.3749228,2382.0354,2.0122077,1.9029926,9.07235,0.08683613,0.08144278,0.054276276,2055.2397,2382.0354,13,7
38,64,8.349959,6.2791276,5651.2734,2.7167215,2.504231,-11.2472105,0.060908265,0.05729921,0.0782158,2360.0005,5651.2734,13,7
39,65,8.264044,5.994037,2954.5637,1.9277738,1.8643973,18.296913,0.078061506,0.0749536,0.032875508,2558.9165,2954.5637,13,7
40,66,8.6016445,6.0443916,4455.3335,2.2972753,2.2015965,-2.4376285,0.06403726,0.061519098,0.04164882,2654.7317,4455.3335,13,7
41,67,8.505474,6.226079,3369.616,2.184316,2.1629064,3.0395231,0.07375341,0.07300215,0.009801473,2329.3608,3369.616,13,7
