,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
0,0,10.351742,18.240181,4353.341,2.237487,2.4394042,-10.243597,0.058763437,0.06276166,0.08277315,2358.198,4353.341,0,17
1,1,10.393217,18.297726,3261.0195,2.3195324,2.301452,-8.0027075,0.06948297,0.06907284,0.0077948784,1383.0927,3261.0195,0,17
2,2,10.007013,18.37576,2161.8215,1.8990608,2.1105888,-2.9043012,0.07512187,0.08258495,0.100222245,1587.2563,2161.8215,0,17
3,3,10.111694,18.197138,2994.2847,2.1600378,2.2847106,-9.615127,0.06650944,0.06914651,0.05456835,1712.4094,2994.2847,0,17
4,4,10.217035,18.730303,2171.479,1.5041194,1.736318,5.128077,0.064355455,0.074816786,0.13373046,2605.519,2171.479,0,17
5,5,10.105024,18.340788,2115.103,1.9777477,2.0159419,2.703918,0.084854305,0.086570226,0.018946072,1756.048,2115.103,0,17
6,6,10.070083,18.02326,5933.29,2.632926,2.9042892,-29.721783,0.045993492,0.04500325,0.09343534,2030.3148,5933.29,0,17
7,7,10.284702,18.086563,6105.0083,2.546467,2.3972824,-25.744806,0.04824295,0.04706728,0.058584973,2804.7563,6105.0083,0,17
8,8,10.10792,18.465158,6631.9453,2.6337097,2.6208532,-33.291748,0.04345816,0.04345464,0.0048815114,2539.3127,6631.9453,0,17
9,9,10.285061,18.416323,5076.943,2.6808927,2.3553514,-22.226246,0.052920654,0.050687447,0.12143017,2199.8057,5076.943,0,17
10,10,10.345981,18.390598,4179.4575,2.522988,2.4554524,-16.390032,0.059369426,0.05863352,0.026768116,1859.5845,4179.4575,0,17
11,11,10.483882,18.50951,3721.619,2.1936736,2.2691212,-15.960192,0.057349063,0.058421552,0.033249684,2108.1753,3721.619,0,17
12,12,10.065025,18.187336,4411.3213,2.6971135,2.5051668,-18.397417,0.057946146,0.05660229,0.07116747,1791.1914,4411.3213,0,17
13,13,10.249928,18.38946,3588.8696,2.246339,2.2620664,-12.219798,0.061863057,0.06214786,0.0069526173,2015.5664,3588.8696,0,17
14,14,10.120087,18.231232,4839.6577,2.5356214,2.5168288,-17.112434,0.05680693,0.056589384,0.007411449,2249.604,4839.6577,0,17
15,15,10.228563,18.565453,4019.4973,2.4057515,2.434502,-21.023312,0.054211088,0.05434884,0.01180957,1882.458,4019.4973,0,17
16,16,10.182572,18.170017,4471.3223,2.3579407,2.5952725,-17.838081,0.055310044,0.05776656,0.09144776,1966.6617,4471.3223,0,17
18,35,9.699076,16.656973,1295.2244,1.9986924,1.9218508,2.7541203,0.11210403,0.10744783,0.03844593,989.852,1295.2244,2,7
19,36,10.0916395,16.676516,1429.1967,1.9171665,2.228319,4.9036546,0.1051488,0.12504458,0.13963552,1089.1917,1429.1967,2,7
20,37,10.420966,16.384832,1641.2815,2.1461341,2.4092455,4.0113387,0.108647466,0.123893805,0.10920902,1012.40814,1641.2815,2,7
