,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
10,54,9.040985,4.9458776,2118.6384,1.9723946,2.6158037,-1.3057457,0.08023614,0.10450658,0.24596997,1067.5763,2118.6384,6,8
11,55,9.334979,4.4354424,2241.7595,2.1369617,2.7758937,0.57694584,0.086601585,0.112710916,0.23017164,1068.5244,2241.7595,6,8
12,56,9.095555,5.5730543,2989.5044,1.9971788,2.6310892,-6.1331034,0.0653537,0.0814825,0.2409308,1319.6478,2989.5044,6,8
13,57,9.26377,5.3425317,2179.0935,2.0459876,2.6008136,3.71219,0.08764997,0.11408551,0.21332787,1185.5852,2179.0935,6,8
14,58,9.169022,5.3758564,1162.9119,1.6235831,2.0336518,5.3653927,0.09893957,0.12825564,0.20164157,1115.16,1162.9119,6,8
16,59,9.073227,5.4822264,2323.0015,2.1188042,2.1915686,1.2542076,0.08510662,0.08807866,0.03320197,1256.0978,2323.0015,6,8
17,60,9.2341385,5.916217,1943.8987,1.728395,2.598172,8.018319,0.081377245,0.1322152,0.334765,1171.702,1943.8987,6,8
18,61,9.261423,5.3323183,1348.2994,1.6153625,1.8698616,3.6615367,0.08851549,0.10362095,0.13610584,1204.1484,1348.2994,6,8
19,63,9.322949,5.4052963,808.978,1.5796359,1.8952656,10.559669,0.1293287,0.16464981,0.16653588,871.53656,808.978,8,11
20,64,8.992828,5.248055,1824.5244,1.850894,2.3501728,5.547654,0.088713,0.116444,0.21244344,1182.9204,1824.5244,8,11
21,65,9.209617,5.3451104,1171.7373,1.529959,1.7560025,11.46921,0.0991122,0.1175622,0.12872623,1394.5791,1171.7373,8,11
22,66,9.289141,5.1667433,1491.0856,1.7996768,2.6906786,5.178801,0.09598998,0.1540814,0.33114392,973.68396,1491.0856,8,11
23,67,9.256734,5.373983,2555.0027,2.2890763,2.3497338,0.37691844,0.08654501,0.08882867,0.025814626,1377.9579,2555.0027,8,11
24,68,9.340962,5.7193108,1255.0105,1.5802703,2.4601758,8.004536,0.09493263,0.16431849,0.3576596,809.3203,1255.0105,8,11
25,69,9.15625,5.398685,1425.4174,1.9923714,2.2337632,5.7645445,0.11158841,0.12776665,0.10806507,948.57715,1425.4174,8,11
26,70,9.0599,5.4339194,2255.345,2.343968,2.4124348,6.250746,0.10351109,0.10704619,0.02838083,1242.1277,2255.345,8,11
28,71,9.242489,5.435888,2007.3182,2.1990952,2.629445,0.53701586,0.09421122,0.112793304,0.16366565,1002.0424,2007.3182,8,11
29,72,9.080014,5.038008,1959.06,2.1095572,2.415974,0.3311603,0.09119893,0.10438811,0.12682949,987.6963,1959.06,8,11
30,73,9.427209,5.4156523,1679.3383,1.8838421,2.0048509,6.668665,0.09622007,0.10337904,0.060357984,1331.4182,1679.3383,8,11
35,97,9.156247,6.276536,742.66034,1.5988078,1.9717897,9.904136,0.13757025,0.18234111,0.18915907,845.3119,742.66034,13,3
36,98,9.0835285,5.711783,1309.4045,1.8694894,2.1992614,8.949995,0.114351675,0.14039834,0.1499467,1070.2086,1309.4045,13,3
37,99,9.144405,6.894603,1282.016,1.9048475,2.0373225,-0.03673714,0.10138441,0.108270586,0.06502408,929.4659,1282.016,13,3
42,150,8.545774,22.118202,3643.2385,2.86617,3.2758286,-13.58187,0.0675034,0.06737064,0.12505497,935.8018,3643.2385,18,3
