,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
0,0,5.073252,43.633507,1688.3708,2.0376825,2.6176338,1.827745,0.09745622,0.12710385,0.22155555,866.452,1688.3708,0,3
1,0,5.781676,12.145133,8464.682,2.4867668,3.8467062,-29.51466,0.04265287,0.04081283,0.35353345,1919.7781,8464.682,1,7
2,0,5.920446,18.597195,5482.433,2.3410373,2.8533165,-20.40201,0.0505187,0.055009242,0.17953819,2117.2095,5482.433,2,5
3,1,5.10514,44.161526,2481.2715,2.3882687,2.1812017,3.6731799,0.0964216,0.0874054,0.08670172,1341.6476,2481.2715,0,3
4,1,5.8307166,18.827618,4632.73,2.4837363,2.8355906,-15.451695,0.058171194,0.062021073,0.124085024,1739.4395,4632.73,2,5
5,1,6.080718,11.234152,3901.7878,2.6366436,3.468172,-2.9464226,0.077002876,0.09802941,0.23975985,1032.0245,3901.7878,1,7
6,2,5.184859,42.91409,1907.1533,1.9586706,2.1684744,7.1089396,0.093899295,0.10569734,0.09675181,1423.8718,1907.1533,0,3
7,2,5.926116,18.488928,4644.0317,2.4374416,2.7038753,-7.409184,0.06313237,0.068680726,0.09853772,1824.9385,4644.0317,2,5
8,2,6.1767945,11.278772,8415.923,2.9319916,3.721915,-31.135967,0.044747017,0.039952707,0.21223575,1641.16,8415.923,1,7
9,3,6.0232587,18.387882,3102.5544,2.1083663,2.884608,0.21724865,0.07220121,0.09854709,0.26909783,1173.0309,3102.5544,2,5
10,3,6.0574484,12.0581045,3723.4246,1.8390968,2.5370905,4.698968,0.05927887,0.08336954,0.27511582,2505.0352,3723.4246,1,7
12,4,5.9066124,12.647595,3880.573,1.6485431,2.1743262,13.744255,0.054095946,0.07395918,0.24181426,3445.0898,3880.573,1,7
13,4,6.018895,17.96996,3513.818,2.1502588,2.965116,1.2047337,0.069796264,0.096783265,0.27481464,1400.5186,3513.818,2,5
15,5,5.99919,12.541023,5075.901,1.8689685,2.298694,5.208548,0.051333647,0.06365869,0.1869433,3707.7632,5075.901,1,7
16,6,5.9232364,19.059204,1419.0608,1.9458256,2.0682142,6.422635,0.10998184,0.11821653,0.05917598,1142.446,1419.0608,4,16
17,6,6.1394353,11.602,2510.4766,1.6234069,1.9698349,7.441461,0.065492555,0.08090704,0.17586653,2487.2837,2510.4766,1,7
19,7,6.166012,19.258505,2860.343,2.241166,2.8749905,-4.7274795,0.074765965,0.091398045,0.22046137,1210.329,2860.343,4,16
22,8,6.086242,18.819315,3077.3423,2.189699,2.9999883,-0.06546107,0.07501931,0.10230405,0.27009752,1450.0712,3077.3423,4,16
23,9,5.8119044,18.955563,6000.2773,2.9034946,3.555358,-19.79104,0.055155553,0.055374674,0.18334675,1280.2983,6000.2773,4,16
24,9,6.054038,11.25151,1030.2789,1.437733,1.7956223,12.660478,0.100963235,0.13406587,0.19931212,1226.7522,1030.2789,7,8
26,10,5.6624565,19.917017,6547.099,3.5530586,3.644758,-28.606577,0.03852397,0.035569694,0.025159245,816.8945,6547.099,4,16
27,10,6.4037604,10.882833,1815.2947,1.6067834,2.519607,9.062102,0.078751646,0.13533628,0.36228812,1364.9792,1815.2947,7,8
29,11,5.7318463,19.71849,3893.5417,2.7446847,2.932281,-12.678691,0.06720588,0.06898895,0.06397624,1045.749,3893.5417,4,16
30,11,6.293381,11.609565,4264.4214,1.9547684,2.44788,0.40372393,0.057205208,0.071461394,0.20144436,2669.557,4264.4214,7,8
32,12,6.204093,11.480455,6705.7524,2.2656524,2.4958909,-16.833258,0.0474751,0.050964028,0.092246994,3411.1272,6705.7524,7,8
31,12,5.983758,18.799099,4247.9043,2.2213898,3.663294,-10.40723,0.058907516,0.07756506,0.39360866,1335.1628,4247.9043,4,16
34,13,5.6219196,19.014244,2569.0107,1.9957085,2.6292033,2.0557508,0.07672381,0.102220215,0.24094556,1341.462,2569.0107,4,16
