,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
76,308,7.6486883,17.219229,19655.035,2.877893,2.468423,-95.28244,0.025410637,0.025384238,0.1422812,7602.5024,19655.035,38,47
77,309,7.75551,17.266542,22324.24,2.8654115,2.4592147,-92.599915,0.02604807,0.025008269,0.14175864,8620.137,22324.24,38,47
78,310,7.9024186,17.44451,21370.479,2.594526,2.5413086,-76.78618,0.027227541,0.026957696,0.020511419,8065.6675,21370.479,38,47
79,311,7.8531475,17.393349,17656.965,2.7288969,2.4110386,-56.877487,0.031565167,0.0294708,0.11647865,7638.816,17656.965,38,47
80,312,7.7522993,17.282955,23538.29,2.7881744,2.531318,-98.018814,0.02525613,0.024613323,0.09212352,7744.128,23538.29,38,47
81,313,7.7506413,17.244616,18300.58,2.600173,2.3980453,-60.66982,0.030053277,0.028697496,0.07773625,7009.3447,18300.58,38,47
83,314,7.8814344,17.264545,17980.754,2.4847877,2.3901286,-64.1348,0.02910218,0.028480683,0.038095444,7234.369,17980.754,38,47
84,315,7.793447,17.174294,16292.165,2.563627,2.2364094,-64.09726,0.030245854,0.028211068,0.12763853,7049.894,16292.165,38,47
85,316,7.897205,17.182425,16516.447,2.575857,2.312338,-62.589638,0.030425858,0.02879081,0.102303356,6727.021,16516.447,38,47
86,317,7.7629476,17.243153,27277.898,3.0616553,2.678792,-132.69586,0.020759955,0.02176774,0.12505108,7453.9365,27277.898,38,47
87,318,7.994589,17.291182,12742.984,2.494328,2.1924946,-43.84797,0.03492358,0.032247555,0.1210079,5949.1367,12742.984,38,47
88,319,8.044805,17.225607,15134.243,2.6538749,2.3558083,-62.969376,0.031183789,0.029747462,0.11231374,5957.953,15134.243,38,47
89,320,7.8397474,17.368793,13717.137,2.591772,2.312632,-51.648853,0.033535644,0.03163604,0.10770237,5598.9434,13717.137,38,47
90,321,7.9701743,17.360952,16130.431,2.769635,2.5219936,-70.66744,0.029805336,0.029214874,0.08941298,5526.5776,16130.431,38,47
91,322,7.725438,17.232813,12428.222,3.141275,2.4321637,-55.00315,0.032778237,0.032742247,0.22573994,4338.731,12428.222,38,47
92,323,7.67512,17.128935,8460.074,2.6766038,2.3149288,-23.515026,0.04667441,0.042404074,0.13512461,3357.8853,8460.074,38,47
93,324,7.873943,17.275883,18763.438,2.5652506,2.419265,-70.88002,0.028519684,0.027717646,0.056908906,7365.8037,18763.438,38,47
94,325,7.7512627,17.258265,20106.064,2.7336307,2.4260027,-82.146286,0.027441658,0.026298806,0.11253456,8356.176,20106.064,38,47
95,326,7.866722,17.272968,13135.675,2.3526587,2.2386796,-46.445435,0.033070732,0.032060567,0.048446935,6141.3633,13135.675,38,47
97,327,7.7798924,17.175772,9676.165,2.6503503,2.1882205,-24.452888,0.044142354,0.03845189,0.17436557,4955.616,9676.165,38,47
98,328,7.6602707,17.049093,14549.696,2.921013,2.342462,-62.44931,0.031697664,0.03001917,0.1980652,5985.743,14549.696,38,47
99,329,7.8069987,17.233923,13601.416,2.6603007,2.423345,-55.601955,0.03312448,0.031953644,0.089071,5080.02,13601.416,38,47
100,330,7.729334,17.240768,14670.78,2.7428393,2.3911784,-61.856255,0.031743586,0.030327931,0.12821056,6399.126,14670.78,38,47
101,331,7.67266,17.219461,17220.48,2.6615021,2.255592,-69.76165,0.029536268,0.027413206,0.15251163,6969.219,17220.48,38,47
102,332,7.6801443,17.176243,32598.855,3.3382921,2.7195127,-178.1155,0.012749897,0.018560171,0.18535808,8847.33,32598.855,38,47
103,333,7.8094716,17.231562,20238.627,2.6367912,2.333094,-82.96862,0.02705636,0.025689343,0.115176864,8066.1387,20238.627,38,47
104,334,7.7888684,17.215698,20480.877,2.707258,2.3512259,-76.27112,0.02801173,0.02619893,0.13151023,9065.199,20480.877,38,47
105,335,7.7583084,17.190498,14979.455,2.6985846,2.3423991,-56.403538,0.032601077,0.030497797,0.13198973,5884.2715,14979.455,38,47
106,336,7.662599,17.294464,11111.733,2.6454215,2.2809198,-32.513794,0.040027294,0.03635327,0.13778587,4427.934,11111.733,38,47
107,337,7.8729057,17.136662,17245.229,2.6227784,2.3714864,-69.83936,0.029381525,0.028146233,0.09581137,6832.3496,17245.229,38,47
108,338,7.8601255,17.173803,17060.35,2.7320719,2.388639,-64.64099,0.030611297,0.028850723,0.1257042,6221.9766,17060.35,38,47
110,339,7.79667,17.178108,15708.804,2.8309064,2.5185766,-71.62955,0.029598951,0.02918891,0.11032854,5164.112,15708.804,38,47
111,340,7.938461,17.287212,14443.113,2.5537546,2.4376068,-62.05978,0.031202734,0.030665776,0.045481175,5590.841,14443.113,38,47
113,341,7.9202476,17.26097,16014.688,2.617896,2.5046923,-70.04703,0.029656213,0.029267292,0.04324227,5789.732,16014.688,38,47
114,342,7.8666725,17.334799,13954.821,2.489009,2.3592908,-49.35402,0.033128936,0.03213801,0.052116353,5783.327,13954.821,38,47
115,343,7.7609677,17.309286,16864.166,2.7735949,2.4370723,-72.491714,0.029406482,0.02837344,0.121330835,5804.6787,16864.166,38,47
116,344,7.674618,17.157703,16645.115,2.804009,2.459019,-71.29531,0.029675836,0.028694695,0.12303456,5620.974,16645.115,38,47
117,345,7.8911233,17.356709,11777.435,2.47876,2.2209253,-38.64243,0.036564875,0.034087453,0.1040176,5410.723,11777.435,38,47
118,346,7.844919,17.21759,6934.3374,2.8047345,2.1648302,-15.737532,0.05510486,0.04551291,0.22815146,3361.5378,6934.3374,38,47
120,358,6.924127,6.954421,3597.7417,2.7615988,2.5545363,-10.126669,0.07267615,0.06938153,0.0749792,1134.676,3597.7417,44,5
121,359,7.0893083,6.6724234,4174.01,2.2830136,2.3530476,-5.14872,0.06398678,0.06571329,0.029763116,2457.0625,4174.01,44,5
122,360,7.07569,6.475018,7294.002,2.378882,2.403516,-26.46752,0.04443669,0.04469749,0.010249202,3373.028,7294.002,44,5
123,361,7.4460196,6.7889423,3638.1035,2.497423,2.8303523,-16.576597,0.06051608,0.061531473,0.11762825,1290.0677,3638.1035,44,5
124,362,7.3473883,6.329177,3181.8435,2.555845,2.2931843,-8.695256,0.07418365,0.06882926,0.10276865,1501.5326,3181.8435,44,5
129,402,7.752648,17.844568,1507.4562,2.149005,1.9882638,1.148705,0.10793963,0.099673174,0.07479791,897.5133,1507.4562,48,7
130,403,7.5700274,17.612776,2980.0637,2.4475286,2.18413,-8.7227545,0.07365693,0.068029076,0.10761821,1616.2887,2980.0637,48,7
131,404,7.7383547,17.311113,3796.971,3.0464666,2.6314223,-17.97483,0.057213333,0.05903009,0.13623793,1117.3932,3796.971,48,7
133,405,7.8353386,17.577522,3013.0308,2.2382555,2.1332583,-8.31498,0.06939701,0.06693172,0.046910264,1559.8568,3013.0308,48,7
134,406,7.81516,17.614037,3306.0344,2.6918044,2.3582969,-12.775296,0.06874838,0.06479818,0.12389739,1202.139,3306.0344,48,7
135,407,7.7142243,17.661705,2030.6936,2.3147738,2.238728,1.5557607,0.1004445,0.09702376,0.032852348,1142.9191,2030.6936,48,7
136,408,7.1515603,17.308012,2920.093,2.735424,2.6899629,-6.285304,0.08421067,0.08322948,0.016619425,1141.289,2920.093,48,7
142,434,7.198785,10.832969,4806.6704,2.255937,3.7426,-10.420184,0.05674214,0.07695393,0.3972273,1377.4624,4806.6704,54,3
143,435,7.286666,9.376868,3215.0059,2.3183038,2.814813,-8.729974,0.069075,0.0783142,0.1763915,1304.6139,3215.0059,54,3
144,436,7.4519196,9.829318,4736.476,2.622598,3.1828103,-15.854958,0.059196264,0.06293884,0.17601186,1449.8551,4736.476,54,3
145,438,7.2672124,8.823603,1736.1615,2.5534844,2.4727147,0.29523718,0.117211394,0.11349684,0.0316312,853.6801,1736.1615,55,4
146,439,7.3085413,9.005086,1300.088,2.1396399,2.249628,3.8469772,0.123426475,0.13075154,0.04889173,839.4721,1300.088,55,4
147,440,7.430269,8.733882,2199.571,2.5373886,2.6935852,-2.5971613,0.09692513,0.10202775,0.057988364,875.60266,2199.571,55,4
148,441,7.3493323,8.931479,2179.2473,2.488176,2.645233,-1.028675,0.09903694,0.10491187,0.059373528,914.0602,2179.2473,55,4
152,451,7.2903776,9.465598,2843.56,2.4203618,2.1588938,-5.2046876,0.0792906,0.072137564,0.10802845,1487.6101,2843.56,58,4
153,452,7.085989,9.2671,2875.4375,2.524743,2.3956406,-3.4886615,0.08426521,0.0805021,0.05113489,1280.9319,2875.4375,58,4
154,453,6.809753,8.243524,1526.5396,2.0310667,1.846775,9.597803,0.11605722,0.10327215,0.09073636,1402.1619,1526.5396,58,4
155,454,7.39674,7.8851204,2806.2002,2.3532667,3.2155018,-8.239206,0.07389499,0.086560726,0.26814947,817.996,2806.2002,58,4
159,469,7.395012,8.613824,2380.1802,2.3447256,2.7343197,-0.9410313,0.08987232,0.10399925,0.142483,1045.0763,2380.1802,61,3
160,470,7.416726,7.778836,1459.0786,2.0100708,2.350292,4.3144717,0.108541064,0.12987202,0.14475697,961.1895,1459.0786,61,3
161,471,7.4943347,8.734589,1432.588,2.001409,2.4067535,5.726639,0.11177446,0.13937575,0.16841961,894.0094,1432.588,61,3
163,475,7.3498306,8.755609,2671.8125,2.353454,3.3545694,-0.32830933,0.08607323,0.12161038,0.29843333,903.93866,2671.8125,63,7
164,476,7.1491175,8.853941,861.47327,1.7387654,1.9341761,9.630054,0.13826433,0.15913521,0.10103048,876.9812,861.47327,63,7
165,477,7.4611855,9.174707,3180.48,2.636051,3.1039119,-8.188612,0.07648024,0.08379207,0.15073268,1033.8965,3180.48,63,7
166,478,7.1898737,7.9940743,849.2129,1.5661223,1.9494127,9.767011,0.12246102,0.16287175,0.19661841,938.40454,849.2129,63,7
167,479,7.541943,7.508269,1846.8445,2.132106,2.5396304,1.8437709,0.09743951,0.11720575,0.160466,834.48,1846.8445,63,7
168,480,7.3434935,7.8490973,5283.0977,2.8924875,2.9002643,-21.819096,0.0536767,0.05367971,0.0026813892,1538.577,5283.0977,63,7
169,481,7.450441,7.846529,2016.9015,2.1287634,2.4645011,3.932343,0.0957628,0.11267782,0.13622949,922.36584,2016.9015,63,7
170,499,7.195788,9.915979,2751.002,2.647626,3.1602805,-1.4805509,0.09312878,0.10962963,0.16221805,883.3274,2751.002,64,4
171,500,7.447735,9.308107,2181.1155,2.204316,3.5082202,11.171132,0.10459439,0.19575919,0.37167117,893.6024,2181.1155,64,4
172,501,7.268902,9.595292,5982.042,3.17996,3.5296714,-26.079672,0.04745501,0.04113627,0.09907761,1128.6327,5982.042,64,4
173,502,6.7612085,7.777413,4783.061,3.2748003,3.508432,-19.54162,0.054944523,0.051169835,0.066591464,810.9861,4783.061,64,4
