,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
0,0,7.2455635,26.744394,4839.624,1.8179458,2.2701428,8.654105,0.051985487,0.066005744,0.19919318,3491.147,4839.624,0,81
1,1,7.3024855,26.933222,6945.027,2.0592995,3.0532858,-4.6189346,0.0460839,0.066253714,0.32554644,3239.725,6945.027,0,81
3,2,7.3609633,26.777044,3943.0386,1.6970974,2.3407438,27.422535,0.058744,0.088084616,0.27497515,3050.139,3943.0386,0,81
4,3,7.262459,26.702356,4048.5623,1.7458825,2.2493784,21.43954,0.058265205,0.0790939,0.22383781,3218.602,4048.5623,0,81
5,4,7.1664314,26.643496,6117.0854,2.1071072,2.8640673,-3.8958724,0.050220072,0.06676098,0.26429552,3010.2312,6117.0854,0,81
6,5,7.2188706,26.371109,5159.528,1.8917794,2.4944198,5.1946335,0.051528938,0.068812974,0.24159542,3412.8425,5159.528,0,81
7,5,7.3042374,31.855312,5690.756,2.392244,3.1902761,-14.997426,0.05331907,0.0629297,0.25014514,1625.6074,5690.756,2,3
9,6,7.383876,31.9143,5663.448,2.5277708,3.5432246,-15.433792,0.055230062,0.0638053,0.2865903,1286.3868,5663.448,2,3
8,6,7.2043357,26.38469,4197.464,1.7648743,2.1410055,19.647688,0.057291817,0.07193415,0.17567968,3734.1362,4197.464,0,81
10,7,7.2046866,32.458187,12290.327,3.4043503,4.131577,-48.86638,0.034076884,0.013333323,0.17601675,1490.0317,12290.327,2,3
11,7,7.3071194,26.613075,3424.2922,1.6525232,1.9534926,27.806723,0.062177595,0.076560356,0.15406737,3435.2698,3424.2922,0,81
12,8,7.184545,26.778091,5204.55,2.0609996,2.5869052,-1.7019631,0.053847667,0.066960625,0.20329528,2929.048,5204.55,0,81
13,9,7.0735717,26.930885,7396.1226,2.3192165,3.2416005,-16.032438,0.046757735,0.05864309,0.28454587,2673.1028,7396.1226,0,81
14,9,7.3564234,32.14769,10048.088,2.7685807,4.4485245,-18.153412,0.04689551,0.058845554,0.37764066,1628.4501,10048.088,3,3
15,10,7.16107,26.954617,5824.268,1.9487418,3.6240802,10.060486,0.05092869,0.10331066,0.46227962,2235.1584,5824.268,0,81
16,10,7.185937,32.3372,8154.843,2.7148178,3.253079,-32.892086,0.04322719,0.042686023,0.16546208,2072.617,8154.843,3,3
18,11,7.341371,31.8563,10499.006,2.7465086,4.2387586,-16.99257,0.04617466,0.059901625,0.3520488,2057.7021,10499.006,3,3
17,11,7.0434523,26.840485,5645.6025,1.9962955,2.5605838,0.26903462,0.05068876,0.06481109,0.22037488,3237.2053,5645.6025,0,81
19,12,7.2221622,26.658121,6714.6846,2.099013,2.7160661,-1.3166174,0.048451334,0.062198907,0.2271863,3541.5022,6714.6846,0,81
21,13,7.1841145,26.633167,8201.775,2.375991,2.8422074,-26.413084,0.04284539,0.0471533,0.16403317,3358.8628,8201.775,0,81
24,14,7.2355757,26.427353,5879.54,2.0705914,2.3903103,-3.072868,0.050574146,0.057926178,0.1337562,3720.9592,5879.54,0,81
25,15,7.2067122,26.63518,4616.0854,1.9139493,2.140819,4.429352,0.055067636,0.061821263,0.10597338,3363.3987,4616.0854,0,81
