,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
3,43,6.17519,10.108794,676.9026,1.4816236,2.0459287,20.31796,0.1534293,0.25109458,0.27581853,812.3141,676.9026,3,3
4,44,6.2640405,9.647461,3606.5625,2.3620198,2.7557616,-4.308628,0.07105293,0.08116356,0.1428795,1445.6187,3606.5625,3,3
5,45,6.138368,9.214489,3157.4636,2.8243244,3.0795352,-5.9728756,0.08437975,0.08953671,0.08287318,904.018,3157.4636,3,3
20,176,6.310529,5.2678847,1157.7161,1.9105036,2.2551746,7.2631626,0.123541005,0.1521633,0.15283562,911.03516,1157.7161,14,3
21,177,6.102102,4.778624,1961.4993,2.2296271,2.3918672,-0.08937108,0.09556385,0.102381974,0.06782986,1113.172,1961.4993,14,3
22,178,6.025903,4.873026,2136.9087,2.4658823,2.4468563,-2.8655317,0.09517119,0.09454154,0.007715713,1022.1659,2136.9087,14,3
24,231,5.9184995,9.212944,2075.1433,2.179309,2.296949,1.2548189,0.09285733,0.09799669,0.051215775,1097.6483,2075.1433,16,3
25,232,6.270928,9.5804825,2386.3044,2.344321,2.1088328,0.28975692,0.091610566,0.0824796,0.100450486,1438.8682,2386.3044,16,3
26,233,6.5238547,9.700236,1952.9508,2.0782173,2.5400062,2.5180552,0.09304864,0.11538989,0.1818062,1116.6309,1952.9508,16,3
27,234,5.656658,7.4620137,1222.864,1.8289866,2.3874226,6.8561015,0.11259501,0.15659605,0.23390745,859.6287,1222.864,17,3
29,235,6.3688707,8.916103,3799.8308,2.7237024,3.4444394,-7.7363544,0.0741883,0.0856447,0.20924653,984.02637,3799.8308,17,3
31,236,6.29295,8.878497,1540.9912,1.8530617,2.8021417,9.710295,0.10323707,0.17678303,0.3386981,951.03644,1540.9912,17,3
33,272,5.9824605,4.8708334,2334.174,2.2374918,2.3482025,-2.4196157,0.084703416,0.088469714,0.047146965,1390.3225,2334.174,20,7
34,273,5.6700997,4.9610634,3990.9277,3.0774348,2.4177656,-11.008012,0.07308008,0.06372555,0.21435682,967.1327,3990.9277,20,7
35,274,5.8819857,5.789286,2065.675,2.1652327,2.574861,-2.3239417,0.087119415,0.10159446,0.15908757,907.95557,2065.675,20,7
