,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
0,0,7.9827604,7.53359,4216.6064,2.0848982,2.9587035,3.103644,0.06251252,0.09020569,0.29533383,2106.8564,4216.6064,0,8
1,0,9.3908615,18.980997,11011.911,2.364786,2.9972582,-35.21421,0.0369099,0.04156378,0.21101695,4228.139,11011.911,1,5
2,1,7.924799,7.150952,5212.638,2.3840153,3.13526,-8.2631235,0.05852543,0.07252325,0.23961163,1911.6239,5212.638,0,8
3,1,9.412218,18.917562,7739.4897,2.048404,2.8320177,-8.057804,0.04291971,0.057260927,0.27669802,3953.3394,7739.4897,1,5
4,2,8.290021,8.087186,4909.7734,2.3257387,3.370878,-6.175354,0.059908513,0.08125278,0.3100496,1423.9786,4909.7734,0,8
5,2,9.295908,18.803692,8653.374,2.1585581,2.848146,-12.610246,0.04193222,0.052903708,0.24211815,4055.9004,8653.374,1,5
6,3,7.9310665,7.546414,5879.6953,2.4590106,3.056908,-9.349281,0.056534402,0.06702968,0.19558892,2190.4294,5879.6953,0,8
7,3,9.418522,18.900963,7889.1265,2.082874,2.815104,-6.5040846,0.043475468,0.057204247,0.2601076,4039.8901,7889.1265,1,5
9,4,9.337537,18.746428,9650.504,2.2368436,3.1709707,-17.832096,0.040312596,0.052402753,0.2945871,3692.7012,9650.504,1,5
8,4,7.789204,7.4414015,7118.1343,2.4950068,3.167687,-23.606936,0.04710719,0.051540803,0.21235688,2375.2217,7118.1343,0,8
10,5,8.004553,7.742315,4301.155,2.00042,3.0688894,7.455844,0.06095026,0.098403186,0.34816155,2268.6763,4301.155,0,8
11,6,7.8627596,7.2947206,5582.5034,2.2809124,3.1909175,-15.296805,0.05174241,0.06275493,0.28518602,2113.4697,5582.5034,0,8
12,6,9.26517,18.975397,10902.676,2.3604715,2.9418795,-38.026108,0.036469117,0.04027241,0.1976315,4224.545,10902.676,2,63
13,7,7.850995,7.2783012,3836.4333,1.9803256,2.5393243,9.576677,0.06508775,0.0863051,0.22013679,2457.9912,3836.4333,0,8
14,7,9.277981,18.875473,10057.744,2.251683,2.7184608,-17.70148,0.039852306,0.046375435,0.17170665,4876.51,10057.744,2,63
15,8,9.22779,19.27539,7146.9116,1.852589,2.524762,5.6963716,0.04264014,0.058706705,0.2662322,4578.67,7146.9116,2,63
17,9,9.266141,19.057219,11564.5625,2.235281,2.9806259,-27.808645,0.035945773,0.043778814,0.2500632,4441.983,11564.5625,2,63
16,9,7.912343,7.675577,7938.834,2.6584659,3.4458525,-33.671345,0.04277198,0.038932495,0.22850272,2001.1392,7938.834,3,32
18,10,8.113052,7.784679,5235.233,2.3779287,3.1344566,-11.519401,0.056580726,0.06822895,0.24135855,1895.976,5235.233,3,32
19,10,9.310332,19.058556,6997.3213,2.1302462,3.1533809,-14.421389,0.045078084,0.06005445,0.32445642,2815.113,6997.3213,2,63
