,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
0,0,6.38479,3.5733178,6067.985,2.1669297,2.0602171,-0.79178804,0.052683365,0.050156347,0.04924598,4125.0986,6067.985,0,209
1,0,7.4292393,13.74415,3499.224,2.0535922,2.7247334,-4.763439,0.06330993,0.08078502,0.24631444,1743.1458,3499.224,1,22
2,1,6.6587563,3.6993175,4868.371,1.9485651,2.195875,2.1033132,0.053861372,0.060743585,0.11262472,3569.728,4868.371,0,209
3,1,7.3624377,14.017516,4337.233,2.2098162,2.6239574,-8.420887,0.059299853,0.06797019,0.15783076,1765.9471,4337.233,1,22
4,2,6.95645,4.1007614,3125.321,1.9516319,1.9205602,2.3634458,0.06791361,0.06681441,0.015920863,2438.1165,3125.321,0,209
5,2,7.279384,14.16578,3322.1162,2.1427188,1.9863087,1.2450784,0.071602836,0.06636181,0.072996095,2332.9624,3322.1162,1,22
6,3,6.57144,3.836592,4090.5105,1.9024057,2.0882776,4.9253936,0.058490224,0.06446137,0.08900725,3425.816,4090.5105,0,209
7,3,7.1489706,14.130792,2078.4458,1.9706328,1.881436,6.701335,0.08951383,0.08498003,0.045263026,1885.8922,2078.4458,1,22
8,4,6.4851737,3.598358,7149.5522,2.2000902,2.2637815,-10.808224,0.04680773,0.047976438,0.02813495,4022.191,7149.5522,0,209
9,4,7.647761,13.851597,5079.0825,2.5111823,2.7403467,-22.109238,0.0520972,0.053213567,0.08362605,1912.4834,5079.0825,1,22
10,5,6.5380087,4.0099144,5565.353,1.7966602,1.9813328,10.267882,0.047939826,0.053189002,0.09320625,5061.6436,5565.353,0,209
11,5,7.233115,14.245239,3887.9946,2.3379018,2.298275,-3.952134,0.06833725,0.06729281,0.016949743,1986.6184,3887.9946,1,22
13,6,7.199971,14.295512,2364.1775,2.4672332,2.3970208,-6.271237,0.08445531,0.0827659,0.028457936,1102.211,2364.1775,1,22
12,6,6.4916673,3.7632184,5255.946,1.827657,1.8912588,17.789705,0.051917892,0.053941753,0.033629373,5052.9014,5255.946,0,209
14,7,6.7027583,3.9936073,6898.0986,1.9096633,2.1024325,1.3947601,0.04408137,0.048489127,0.09168864,5696.6562,6898.0986,0,209
15,7,7.3976173,13.738773,4445.4414,2.489745,2.7792451,-11.248113,0.06241385,0.06708669,0.10416506,1705.5015,4445.4414,1,22
16,8,6.7199965,4.0152717,10376.729,2.1987495,2.2630267,-12.98614,0.03922329,0.040238485,0.028403187,6653.5684,10376.729,0,209
17,8,7.728799,13.557195,1428.1295,1.8761066,2.322347,0.5813833,0.095689766,0.11859467,0.19215058,1001.15906,1428.1295,1,22
18,9,6.9523416,3.8299916,8062.029,2.2005336,2.2709463,-7.706267,0.045030568,0.04634147,0.031005858,5310.807,8062.029,0,209
19,9,7.3014083,14.116839,7848.467,2.8681793,3.0054874,-25.300413,0.048362304,0.049133714,0.04568581,2082.897,7848.467,1,22
20,10,7.0354257,4.0964713,8792.183,2.2216287,2.566679,-19.797873,0.041296322,0.046096563,0.13443455,4897.325,8792.183,0,209
21,10,7.3395004,14.052291,2776.693,2.0745053,2.2145433,7.005795,0.08060045,0.08673356,0.06323562,1590.7037,2776.693,1,22
22,11,6.72869,3.8449724,10195.236,2.2595928,2.5038128,-22.98778,0.038863167,0.042033236,0.097539246,5260.3857,10195.236,0,209
23,11,7.369172,13.688021,6410.516,2.6838326,3.0149286,-26.904602,0.04789756,0.048152667,0.10981883,2046.1929,6410.516,1,22
25,12,7.3028054,13.988696,3065.5542,2.0096648,1.9503281,5.4265485,0.07262334,0.070334874,0.029525653,2566.1152,3065.5542,1,22
24,12,6.705198,3.8229032,8522.253,2.0480912,2.0816522,-1.7925119,0.041977588,0.042643256,0.016122285,6032.88,8522.253,0,209
26,13,6.711534,3.676164,10805.581,2.3564534,2.4382527,-27.299532,0.03848694,0.039452907,0.033548314,5770.1523,10805.581,0,209
27,13,7.307063,14.044066,2988.835,2.0637503,2.1997688,0.9194904,0.07254883,0.077336974,0.061833095,1746.8853,2988.835,1,22
28,14,6.778793,3.8856134,6706.969,1.8567706,1.9882433,13.310351,0.04535724,0.048807412,0.06612506,6104.744,6706.969,0,209
29,14,7.274374,13.877565,3515.4536,2.162767,2.3988924,-5.493522,0.065641105,0.07171528,0.098431036,1983.1385,3515.4536,1,22
30,15,6.9109793,3.9208233,9969.117,2.3159802,2.4249914,-18.23106,0.040855315,0.042415854,0.04495322,5537.432,9969.117,0,209
31,15,7.301786,14.29984,3143.9229,1.9776943,2.5798838,1.6135215,0.0681803,0.08940997,0.23341732,1606.9923,3143.9229,1,22
32,16,6.816808,4.019083,7424.3613,2.1591244,2.471026,-10.6784935,0.045312364,0.05090236,0.1262235,4037.7803,7424.3613,0,209
33,16,7.508238,14.148061,9292.1045,2.9245718,3.4581003,-37.744873,0.04081308,0.037701968,0.15428372,2031.3087,9292.1045,1,22
34,17,7.132074,4.246915,7232.608,2.1272738,2.1094713,-2.097966,0.047146447,0.046766423,0.008368681,5353.313,7232.608,0,209
35,17,7.247113,14.018449,12616.497,3.279564,3.424068,-52.024788,0.033533998,0.032204345,0.042202454,1972.8069,12616.497,1,22
37,18,7.6911006,14.454845,14813.463,3.0133386,3.8810694,-55.6932,0.033588894,0.026623767,0.22358035,2311.1086,14813.463,1,22
36,18,6.857382,4.0753074,8283.015,2.0885477,2.1682835,-6.1622963,0.042649664,0.04416502,0.036773678,5377.356,8283.015,0,209
38,19,6.5551987,3.8254695,7329.3003,2.1795678,2.2731066,-14.460798,0.045042228,0.04662639,0.041150186,4408.3506,7329.3003,0,209
39,19,7.5750294,14.22481,5364.9,2.6248386,3.091659,-15.062292,0.057812873,0.06280609,0.15099351,1569.7614,5364.9,1,22
40,20,6.6915455,4.441016,3202.741,1.9920444,2.3674126,1.7557616,0.06811117,0.08119682,0.15855628,2108.433,3202.741,0,209
41,20,7.2766914,14.341767,3671.2786,2.386826,2.399451,-7.346161,0.068430334,0.068716764,0.0052616117,1729.0071,3671.2786,1,22
