,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
0,0,6.6931353,8.015843,4176.6753,1.8918552,2.2841477,-3.9768445,0.054443505,0.06473353,0.17174567,3124.455,4176.6753,0,51
1,1,6.597599,7.921614,4938.7607,2.0212598,2.488316,-1.7360281,0.054213293,0.06615676,0.18769974,2878.0674,4938.7607,0,51
2,2,6.682989,8.006915,3884.9412,2.0006082,2.4523919,-5.0413494,0.05881388,0.07040117,0.18422164,2507.1042,3884.9412,0,51
3,3,6.69419,7.956666,3359.9116,1.9527113,2.503492,3.2656248,0.06590944,0.08548138,0.22000499,2365.7292,3359.9116,0,51
4,4,6.8393774,7.94422,3584.2502,1.9537141,2.445089,-0.25323868,0.062080864,0.07731013,0.20096403,2478.2976,3584.2502,0,51
5,5,6.6098166,7.72064,3614.6738,1.9130008,2.37003,2.5513654,0.06179964,0.07698108,0.19283685,2569.582,3614.6738,0,51
6,6,6.5274267,7.641045,3743.1438,2.0709586,2.2381053,0.27244258,0.06458927,0.06973225,0.07468223,2464.3567,3743.1438,0,51
7,7,6.6217265,7.7535753,5068.3477,2.0753963,2.3950477,-8.913196,0.052382123,0.059092157,0.13346347,2955.516,5068.3477,0,51
8,8,6.6637454,7.7473946,4386.052,2.3679986,2.4709148,-12.630496,0.059535254,0.061261006,0.041651066,2087.1936,4386.052,0,51
9,9,6.7069697,7.875086,4028.0151,2.3611455,2.4743657,-15.434589,0.05885325,0.06030239,0.045757268,2030.9163,4028.0151,0,51
10,10,6.6462073,7.723489,3596.9805,1.7882838,2.251746,-0.17074415,0.056889024,0.07125112,0.20582345,2875.8188,3596.9805,0,51
11,11,6.585528,7.598975,3364.8965,1.9797792,2.196782,-1.0768647,0.06444429,0.07121889,0.09878215,2392.7075,3364.8965,0,51
12,12,6.59531,7.968167,3422.0005,1.8301916,2.1573024,2.3096132,0.06069393,0.071726315,0.15162954,2867.0222,3422.0005,0,51
13,13,6.574255,7.7127028,2980.1487,2.019529,1.9395226,5.3058567,0.074064404,0.07093283,0.039616402,2536.3298,2980.1487,0,51
14,14,6.6674447,7.7234507,3841.172,1.9900703,2.00722,-6.16422,0.058306534,0.05874832,0.008544,3134.0117,3841.172,0,51
15,15,6.5898623,7.652735,3909.9846,1.9701824,2.1181123,7.4324727,0.0631642,0.06830674,0.069840446,3100.149,3909.9846,0,51
16,16,6.8768344,7.898158,3936.8447,2.0741935,2.2897933,-2.4742246,0.06169701,0.06769745,0.094156876,1982.2975,3936.8447,0,51
17,17,6.5777082,7.716912,4128.323,1.9828302,2.3018837,-3.8173823,0.057240043,0.06564434,0.13860542,2870.7437,4128.323,0,51
18,18,6.6630077,7.7849298,6509.548,2.3366752,2.4884667,-25.180437,0.045934305,0.047449354,0.06099803,3307.3914,6509.548,0,51
19,19,6.711906,7.74197,4792.854,2.0481548,2.2609057,-8.910758,0.053074725,0.057686057,0.09409986,3312.3594,4792.854,0,51
20,20,6.7157845,7.70076,5707.7593,2.0790086,2.2007318,-6.357738,0.050537203,0.05320558,0.05531032,4032.3162,5707.7593,0,51
21,21,6.6441584,7.678693,6463.2603,2.2442188,2.5195472,-18.822006,0.047147103,0.051002447,0.109276935,3538.2585,6463.2603,0,51
22,22,6.6380105,7.7899485,6584.8584,2.2836618,2.4847414,-18.813787,0.04742009,0.050246798,0.08092577,3571.6555,6584.8584,0,51
23,23,6.618282,7.946983,9004.658,2.651282,2.7402835,-32.399364,0.042336557,0.042896762,0.03247891,3028.6536,9004.658,0,51
24,24,6.6930184,7.673887,5525.81,2.055347,2.2334373,-8.699601,0.05006062,0.053804543,0.07973823,3767.5825,5525.81,0,51
25,25,6.749192,7.89376,6147.629,2.1822534,2.5779688,-12.579749,0.049088195,0.055984914,0.15349893,3366.0854,6147.629,0,51
26,26,6.761315,8.298951,3049.3193,1.838167,2.367641,11.238609,0.06903056,0.09273546,0.22362936,2272.9927,3049.3193,0,51
27,27,6.7402296,8.255931,4931.03,2.163934,2.4988775,-7.6321373,0.055481017,0.06269701,0.1340376,2669.499,4931.03,0,51
28,28,6.6242547,7.9574747,3812.0261,1.9350592,2.636446,2.5141878,0.060808558,0.08361362,0.26603496,2155.0032,3812.0261,0,51
29,29,6.5887265,7.814942,2771.7668,1.9085729,2.1238272,5.7279196,0.07280027,0.081755474,0.10135208,2274.059,2771.7668,0,51
30,30,6.4401298,7.4942036,3085.393,2.0046067,2.2270277,0.62295246,0.06915321,0.07677959,0.099873446,2185.774,3085.393,0,51
31,31,6.4490614,7.884557,4220.047,1.9795861,2.355503,-1.3677135,0.057533395,0.06798908,0.15959094,2845.8982,4220.047,0,51
32,32,6.6393604,7.75274,2555.9333,1.6431366,2.0604975,12.062339,0.06775473,0.08809848,0.20255347,2502.7124,2555.9333,0,51
33,33,6.497186,8.000199,3550.3083,2.0070498,2.523498,1.305069,0.064850904,0.08171609,0.20465569,2238.7292,3550.3083,0,51
34,34,6.555865,7.925025,3187.7693,1.9437296,2.199756,3.8201823,0.06773982,0.077123255,0.11638849,2506.6611,3187.7693,0,51
35,35,6.462276,7.7907624,3882.2715,2.1065392,2.2454681,-4.546559,0.06189093,0.06554227,0.06187079,2555.6902,3882.2715,0,51
36,36,6.559584,7.71492,3808.1072,1.94845,2.1263127,3.7265806,0.061781242,0.067624204,0.08364845,2900.767,3808.1072,0,51
37,37,6.6594286,7.778519,5440.8564,2.1528413,2.4464474,-11.686022,0.051395644,0.056876592,0.12001323,3146.6196,5440.8564,0,51
38,38,6.708186,7.953576,7377.1694,2.204449,2.4289927,-17.280537,0.04463602,0.04808723,0.092443176,3785.8308,7377.1694,0,51
39,39,6.5321574,8.165067,2371.3398,2.120439,2.4132762,1.8297838,0.08490946,0.09709782,0.12134423,1394.7887,2371.3398,0,51
40,40,6.580221,7.919561,1850.7303,1.8978488,2.1379526,9.51811,0.09474554,0.109394185,0.11230545,1583.4645,1850.7303,0,51
41,41,6.638239,7.698318,4350.844,2.5365083,3.2719169,-14.729773,0.060536385,0.065299794,0.22476383,1231.6954,4350.844,0,51
42,42,6.660401,8.019946,6565.974,2.955811,3.451244,-27.887281,0.04739988,0.04263079,0.14355204,1342.5476,6565.974,0,51
43,43,6.821344,8.986952,928.42065,1.5632024,1.9668149,9.569912,0.115068905,0.15442953,0.20521122,1034.7378,928.42065,0,51
44,44,7.051318,9.390977,963.33154,1.5432286,1.9178323,12.214857,0.114531256,0.15245883,0.19532658,1101.0251,963.33154,0,51
45,45,6.7603335,9.25271,1160.005,1.53859,2.133589,9.831859,0.09857468,0.14866221,0.2788724,1117.3813,1160.005,0,51
46,46,6.7682304,8.888552,2809.0745,2.326521,3.1071708,-8.779163,0.0725761,0.08380075,0.2512414,1084.8352,2809.0745,0,51
47,47,6.65756,8.873361,2372.129,2.1450212,2.8180523,-3.1289454,0.08005071,0.101134956,0.23882847,997.20746,2372.129,0,51
48,48,6.3741355,8.04187,3196.5366,2.2802806,2.7010243,-6.3524075,0.070740245,0.080660634,0.15577191,1291.1582,3196.5366,0,51
49,49,6.6627626,8.760798,1827.6622,1.8298664,2.4113219,8.590092,0.09054543,0.12637238,0.24113557,1260.8425,1827.6622,0,51
50,50,6.816515,9.061771,3522.8135,2.3699956,4.194212,-8.451907,0.06812399,0.084526554,0.4349366,945.73517,3522.8135,0,51
51,52,6.7557445,8.945896,2717.7427,2.2531528,3.424457,-4.785614,0.076704554,0.104443304,0.34204087,940.10333,2717.7427,1,28
52,53,6.7225823,8.800337,3144.722,2.2002792,2.8681612,-2.8250403,0.072247416,0.09167205,0.23286068,1257.471,3144.722,1,28
53,54,6.7816043,9.030834,1153.1586,1.7181233,2.6183429,11.534373,0.1156528,0.20588559,0.3438127,919.3914,1153.1586,1,28
54,55,6.787779,9.919915,2605.3245,2.264832,2.9261525,-5.729855,0.07720776,0.09288343,0.22600341,874.8086,2605.3245,1,28
55,56,6.718804,8.736638,1290.7206,1.5909591,2.593793,9.163901,0.0953526,0.17773408,0.38662833,1039.3519,1290.7206,1,28
56,57,7.0107117,8.540888,3663.2756,2.5156333,3.5434203,-9.672959,0.06880187,0.080495514,0.29005507,824.84546,3663.2756,1,28
