,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
0,0,7.6307397,21.349575,8031.9727,2.8369596,2.912157,-34.09591,0.04293054,0.042926196,0.025821911,2547.7478,8031.9727,0,37
1,1,7.604645,21.519215,6150.326,2.6066284,2.13732,-9.259365,0.05825883,0.04922233,0.18004422,3289.6255,6150.326,0,37
2,2,7.5404654,21.487743,7653.3315,2.454703,2.2263198,-15.926508,0.048249315,0.044656835,0.09303907,4175.6177,7653.3315,0,37
3,3,7.3928566,21.55457,5597.3784,2.6235247,2.2883775,-13.956405,0.057779495,0.05239887,0.1277469,2650.3286,5597.3784,0,37
4,4,7.5968657,21.365654,7231.177,2.458473,2.501628,-24.46396,0.04615079,0.04660878,0.017250748,3293.3076,7231.177,0,37
5,5,7.5116367,21.432062,8719.79,2.4652243,2.5317745,-32.055943,0.041324906,0.04188283,0.026286012,3881.9963,8719.79,0,37
6,6,7.4811273,21.383595,10717.371,2.664791,2.3480973,-25.271023,0.04257535,0.038863596,0.11884376,4988.8228,10717.371,0,37
7,7,7.637256,21.458345,9771.013,2.5010998,2.1617627,-24.478954,0.04229395,0.037937656,0.13567516,5330.608,9771.013,0,37
8,8,7.3896394,21.522871,7590.7812,2.2850745,1.9429588,-6.641753,0.048184887,0.04148547,0.1497175,5337.772,7590.7812,0,37
9,9,7.605581,21.60637,11317.959,2.864011,2.4916372,-41.19308,0.038642567,0.036560398,0.1300183,4301.656,11317.959,0,37
10,10,7.583784,21.44003,7621.754,2.4915857,2.5367131,-27.650822,0.044585932,0.044991292,0.01778971,3289.1064,7621.754,0,37
11,11,7.7393365,21.536085,4488.5996,2.169524,2.2293031,-3.132039,0.060126018,0.06167017,0.026815182,2670.2822,4488.5996,0,37
12,12,7.614391,21.744104,5406.8774,2.4209113,2.2025852,-6.470431,0.05929397,0.05453574,0.09018343,3074.4275,5406.8774,0,37
13,13,7.535108,21.691216,4322.6934,2.0822308,1.8564538,-0.31271285,0.0601528,0.05378528,0.108430356,3503.5718,4322.6934,0,37
14,14,7.355936,21.718014,12570.032,2.8304074,2.4230182,-54.82257,0.03386586,0.032648258,0.14393304,4913.5747,12570.032,0,37
15,15,7.423768,21.688692,6486.5166,2.0658114,1.73809,0.9082813,0.049045626,0.041377045,0.1586405,5883.439,6486.5166,0,37
16,16,7.3469505,21.76384,4354.216,1.9212025,1.7238036,7.7350006,0.058087822,0.0518255,0.102747574,4053.9487,4354.216,0,37
17,17,7.7829633,21.74005,4193.627,2.363444,1.8500077,-0.5186659,0.0689853,0.054352686,0.21724078,2941.6262,4193.627,0,37
18,18,7.571608,21.603949,4421.8096,1.9451379,1.8010118,-0.008377878,0.055758666,0.051720086,0.07409555,3786.177,4421.8096,0,37
19,19,7.73016,21.785725,5530.1294,2.5117784,2.4647408,-19.506144,0.05291366,0.05237885,0.018726813,2477.9863,5530.1294,0,37
20,20,7.728491,21.798304,5052.7803,2.2762413,2.145617,-10.083506,0.056163818,0.053498045,0.057385962,3125.251,5052.7803,0,37
21,21,7.56258,21.934309,3930.2969,2.0915973,1.920955,4.705582,0.0658587,0.060263097,0.081584714,3233.1624,3930.2969,0,37
22,22,7.6241326,21.884787,3269.946,1.9821767,1.9457619,6.0770907,0.06944591,0.06808083,0.018371088,2694.365,3269.946,0,37
23,23,7.6509104,21.808292,5331.7427,2.2531788,2.0391426,-15.219684,0.052197225,0.04841835,0.094993,3556.1772,5331.7427,0,37
24,24,7.5996,21.806406,2454.1956,1.9344412,2.006712,1.7147418,0.07583876,0.07871795,0.036014512,1960.7556,2454.1956,0,37
25,25,7.4564605,21.824062,3089.4507,2.2722995,1.9761149,-3.979922,0.073900454,0.06524326,0.13034578,2165.8564,3089.4507,0,37
26,26,7.432396,21.764597,6175.8647,3.0496318,2.3526232,-17.658981,0.057906214,0.049999163,0.22855501,2512.245,6175.8647,0,37
27,27,7.650399,21.581985,3789.1323,2.1216724,2.36284,-9.338207,0.060124658,0.06532506,0.102066815,2185.7466,3789.1323,0,37
28,28,7.5933065,21.909325,3505.5442,2.0032842,2.1511035,-4.1433125,0.062213536,0.06634549,0.06871788,2439.7158,3505.5442,0,37
29,29,7.7954607,21.721958,1879.7281,1.5845371,1.6782751,9.333861,0.07615988,0.08125251,0.05585375,2293.9292,1879.7281,0,37
30,30,7.8901277,21.950396,2227.606,1.7486031,1.8830743,6.418825,0.07519859,0.081543155,0.07141045,2211.7544,2227.606,0,37
31,31,7.7090697,21.740837,3209.3667,2.0520544,1.8357878,9.328552,0.074812956,0.066097714,0.1053903,2702.2224,3209.3667,0,37
32,32,7.6938596,21.75244,6166.6055,2.93536,2.5323155,-25.824648,0.049320605,0.048010454,0.13730666,2274.6152,6166.6055,0,37
33,33,7.8131275,21.6881,3238.2615,2.2464223,2.1046689,-6.273264,0.069577955,0.0658993,0.063101865,1732.4113,3238.2615,0,37
