particle,,dframe,dx,dy,step_len
74,2,1,0.026762009,0.39785957,0.39875862
74,3,1,0.21847916,-0.058462143,0.2261658
74,4,1,-0.27470207,-0.19383621,0.33620486
74,5,1,-0.031742096,0.32541656,0.326961
75,0,1,-0.12944984,-1.4309387,1.4367821
75,1,1,0.16934586,0.8684559,0.8848128
75,2,1,-0.3885498,-0.60313225,0.7174535
75,3,1,-0.28557014,-1.0597763,1.0975775
77,0,1,0.21684456,-0.36045074,0.42064986
77,1,1,-0.007822037,0.08806229,0.088409
77,2,1,-0.029973984,0.0004196167,0.029976921
77,3,1,-0.23949432,-0.01845932,0.24020465
77,4,1,-0.15518951,-0.2034874,0.25591192
77,5,1,0.31557083,0.6180458,0.6939493
77,6,1,0.5775757,-0.092689514,0.5849658
77,7,1,-0.97312546,-0.2787094,1.012251
77,8,1,0.13472939,-0.082901,0.1581916
77,9,1,0.09819412,0.22897339,0.24914032
82,0,1,0.07645416,-0.7329731,0.7369497
82,1,1,0.42007256,0.075927734,0.42687935
83,0,1,0.19685364,0.0027675629,0.1968731
83,1,1,-0.27206802,0.721405,0.77100337
85,0,1,0.515728,0.8751278,1.0157874
85,1,1,0.07313347,-0.3042183,0.3128854
85,2,1,-0.8595772,0.5674534,1.0299885
85,3,1,0.022190094,0.18079185,0.18214855
85,4,1,0.35544968,-0.5938759,0.69212216
85,5,1,0.15493011,-0.96487236,0.9772318
85,6,1,-0.10406113,0.5669708,0.57644135
85,7,1,-0.41495895,1.0054474,1.0877111
90,0,1,0.23485756,-0.4360428,0.495269
90,1,1,-0.11959076,0.9316826,0.9393266
92,0,1,0.14652443,-0.045230865,0.15334679
92,1,1,-0.3147354,-0.73490906,0.7994684
92,2,1,0.15645218,0.76498795,0.7808226
103,0,1,0.5017586,0.26481247,0.56735116
103,1,1,-0.11506462,-0.5890446,0.60017776
103,2,1,0.16716385,0.10799599,0.19901478
103,3,1,0.24698448,-0.35483742,0.43233195
103,4,1,-0.38347054,-0.36773682,0.5313003
103,5,1,0.0382843,0.32935715,0.33157477
103,6,1,0.14269829,0.6614895,0.6767061
103,7,1,-0.32473755,-0.16724014,0.36527216
103,8,1,0.012289047,-0.12378502,0.12439354
105,0,1,0.04276657,1.1857243,1.1864953
105,1,1,-0.39743614,-0.29850006,0.49704906
105,2,1,0.24924469,-0.90367126,0.9374139
106,0,1,0.08972359,0.040103912,0.09827841
106,1,1,-0.086769104,-0.015213013,0.08809264
107,0,1,-0.26973343,0.66230965,0.7151295
107,1,1,0.53953743,0.1723175,0.56638676
107,2,1,-0.041240692,0.3872757,0.38946533
107,3,1,0.019739151,-0.29045296,0.2911229
107,4,1,-0.3527012,-0.474535,0.59125423
107,5,1,0.23533821,0.3244419,0.40080747
107,6,1,-0.39258957,-1.5819588,1.6299448
107,7,1,0.6068077,1.7110558,1.8154689
107,8,1,-0.15365791,0.7034626,0.7200489
107,9,1,0.013031006,-1.0087128,1.0087969
107,10,1,-0.08716965,0.6237755,0.6298368
107,11,1,0.042352676,-0.31819344,0.3209997
107,12,1,0.17048264,0.5550251,0.58061796
107,13,1,-0.009077072,0.10036278,0.10077242
107,14,1,-0.10094452,-0.120018005,0.15682511
108,0,1,-0.19755363,-0.60533524,0.636756
108,1,1,0.29553032,0.18394852,0.34810233
108,2,1,-0.14669609,0.22882462,0.27180958
108,3,1,0.02176857,0.6602745,0.6606332
108,4,1,0.26294136,-0.19797516,0.32913876
108,5,1,-0.12480545,-0.23542404,0.2664599
108,6,1,0.035699844,0.17902756,0.18255231
108,7,1,0.0995388,-0.12767029,0.16188784
108,8,1,-0.15026474,-0.05699539,0.16071083
108,9,1,-0.14401245,0.3068657,0.33897808
108,10,1,0.3206768,-0.10705185,0.33807352
109,0,1,0.089920044,0.47878075,0.48715153
109,1,1,0.40341377,-0.44722748,0.6022915
110,0,1,-0.21677971,0.20672798,0.2995495
110,1,1,0.043130875,-0.2033062,0.2078309
110,2,1,-0.26606178,0.46886444,0.5390944
110,3,1,0.11351395,-0.13293457,0.17480566
110,4,1,0.09421539,-0.062763214,0.11320672
110,5,1,0.09062958,0.10004425,0.134991
110,6,1,0.11470795,-0.023633957,0.11711737
110,7,1,-0.17610359,-0.12805367,0.21773887
110,8,1,-0.06267357,-0.14714813,0.1599392
110,9,1,-0.24864578,0.39364052,0.46559379
110,10,1,0.10416412,-0.23432922,0.2564378
110,11,1,1.0196877,0.009153366,1.0197287
112,0,1,-0.26289177,-0.7170067,0.7636823
112,1,1,0.24354362,0.53980255,0.59219956
112,2,1,0.14546776,0.37904358,0.40599865
112,3,1,0.025844574,0.85186386,0.8522558
112,4,1,0.25169563,0.40883255,0.4800987
112,5,1,0.08912659,-0.12619781,0.15449737
112,6,1,0.06710625,0.31321335,0.32032147
112,7,1,0.18528938,-0.057086945,0.19388418
112,8,1,0.370039,0.5013733,0.62314045
112,9,1,-0.3336239,-0.28697205,0.44006574
112,10,1,-0.22061539,0.18463135,0.28768018
113,0,1,0.100486755,0.36624718,0.3797823
113,1,1,-0.4391613,-0.969553,1.0643758
113,2,1,-0.017402649,0.4539852,0.45431864
113,3,1,0.29603386,-0.3196869,0.43570146
113,4,1,-0.37877846,-0.48446274,0.6149612
113,5,1,0.14865494,0.5340748,0.5543773
113,6,1,-0.035196304,-0.47089005,0.47220355
113,7,1,0.29026413,0.9405575,0.98432803
116,0,1,-0.10162735,0.27520752,0.29337227
116,1,1,0.114479065,-0.03489685,0.119679764
116,2,1,0.08228111,0.41388893,0.42198843
116,3,1,-0.26420784,-0.019399643,0.2649191
116,4,1,-0.13630867,-0.38879013,0.4119925
119,0,1,-0.39643288,-0.4907341,0.63085574
119,1,1,-0.0066890717,-0.26525307,0.2653374
120,0,1,-0.1166172,-0.31241608,0.33347172
120,1,1,0.5412617,-0.089580536,0.5486245
120,2,1,-0.3040676,0.3180809,0.440037
120,3,1,-0.34202576,-0.42233658,0.54346097
